,rkne_angle,rkne_angle,rkne_angle,rhip_angle,rhip_angle,rhip_angle
,min,mean,max,min,mean,max
Session,,,,,,
Month 1,89.93,152.28,179.65,76.53,152.59,174.38
Month 2,86.23,150.84,178.74,65.67,148.23,175.39
Month 3,86.58,151.93,179.14,66.41,151.14,179.62
